20180315	12
20180108	14
20180226	19
20180111	30
20180118	19
20180116	31
20180318	12
20180202	5
20180329	14
20180413	5
20180428	2
20180426	15
20180122	2
20180107	56
20180311	10
20180101	3
20180410	15
20180129	2
20180427	3
20180115	35
20180503	5
20180412	17
20180215	10
20180321	11
20180201	28
20180214	20
20180227	7
20180118	67
20180328	4
20180329	2
20180422	1
20180303	2
20180318	4
20180316	6
20180117	38
20180428	5
20180207	26
20180209	14
20180408	0
20180222	0
20180114	29
20180221	3
20180407	14
20180110	47
20180329	12
20180311	2
20180408	9
20180119	10
20180325	1
20180304	7
20180407	0
20180331	15
20180221	2
20180308	2
20180108	12
20180126	33
20180502	4
20180312	12
20180215	18
20180206	8
20180116	28
20180319	15
20180301	17
20180123	56
20180402	3
20180215	14
20180305	13
20180314	10
20180311	11
20180411	9
20180318	3
20180206	23
20180402	8
20180212	26
20180204	21
20180320	11
20180422	6
20180306	0
20180212	30
20180411	6
20180212	2
20180330	4
20180420	10
20180315	13
20180122	40
20180223	22
20180217	20
20180416	9
20180103	13
20180423	2
20180101	11
20180323	11
20180413	10
20180203	45
20180330	5
20180414	3
20180115	2
20180301	12
20180413	8
20180104	15
20180409	2
20180405	3
20180429	10
20180312	11
20180119	37
20180430	9
20180107	19
20180123	38
20180312	1
20180207	0
20180420	5
20180222	17
20180415	0
20180228	18
20180104	9
20180219	17
20180211	7
20180211	16
20180321	17
20180417	2
20180502	7
20180425	3
20180314	3
20180331	5
20180310	7
20180423	7
20180418	18
20180110	54
20180120	17
20180212	15
20180130	32
20180427	7
20180117	2
20180115	14
20180311	11
20180323	13
20180412	0
20180413	2
20180325	15
20180331	5
20180122	39
20180330	0
20180304	2
20180203	7
20180407	6
20180318	4
20180125	13
20180320	7
20180226	29
20180424	7
20180416	5
20180126	11
20180420	1
20180213	1
20180214	18
20180107	42
20180402	11
20180329	4
20180303	11
20180122	43
20180301	23
20180424	6
20180116	10
20180117	46
20180403	11
20180113	40
20180415	4
20180314	11
20180127	37
20180320	12
20180127	32
20180218	17
20180123	29
20180223	13
20180111	17
20180201	8
20180106	16
20180207	25
20180227	16
20180312	14
20180319	2
20180215	2
20180110	27
20180425	7
20180206	26
20180206	2
20180328	15
20180220	5
20180106	6
20180319	12
20180308	13
20180225	16
20180218	28
20180324	9
20180428	5
20180222	13
20180105	51
20180402	1
20180326	12
20180414	2
20180301	17
20180316	10
20180207	4
20180306	20
20180321	6
20180105	44
20180211	12
20180326	7
20180319	13
20180420	1
20180204	18
20180304	18
20180214	17
20180501	3
20180301	8
20180328	9
20180213	31
20180112	59
20180430	12
20180118	78
20180226	21
20180324	6
20180403	19
20180416	3
20180404	3
20180313	5
20180425	3
20180423	11
20180324	12
20180127	29
20180224	9
20180201	35
20180227	1
20180313	9
20180209	18
20180322	5
20180212	1
20180208	0
20180310	9
20180330	3
20180211	17
20180218	11
20180501	4
20180319	2
20180414	4
20180304	7
20180502	10
20180131	7
20180315	6
20180118	19
20180103	51
20180102	14
20180209	37
20180413	4
20180319	8
20180103	28
20180307	8
20180331	10
20180304	5
20180203	11
20180414	7
20180310	1
20180221	15
20180324	11
20180502	3
20180130	33
20180130	30
20180305	13
20180215	12
20180103	40
20180316	9
20180317	11
20180307	9
20180207	22
20180427	3
20180221	25
20180428	3
20180224	14
20180225	15
20180424	7
20180327	1
20180424	2
20180307	9
20180113	7
20180327	15
20180306	9
20180120	8
20180124	37
20180321	8
20180405	19
20180408	2
20180321	6
20180313	2
20180415	14
20180214	4
20180313	15
20180417	14
20180219	29
20180416	10
20180405	15
20180212	28
20180329	9
20180103	71
20180221	0
20180201	1
20180320	2
20180306	14
20180228	5
20180211	2
20180402	1
20180422	3
20180321	8
20180103	49
20180214	3
20180125	31
20180502	10
20180311	14
20180301	5
20180121	39
20180322	18
20180428	6
20180130	39
20180114	26
20180202	48
20180128	34
20180124	28
20180208	13
20180409	12
20180211	21
20180317	4
20180222	0
20180208	4
20180314	1
20180417	5
20180226	20
20180201	8
20180406	10
20180211	22
20180503	9
20180422	9
20180422	10
20180317	6
20180119	7
20180423	6
20180328	8
20180218	6
20180105	60
20180312	14
20180220	25
20180421	7
20180209	1
20180427	4
20180129	11
20180111	38
20180413	2
20180109	14
20180403	4
20180328	18
20180206	20
20180117	4
20180310	0
20180207	5
20180503	3
20180221	23
20180410	12
20180129	30
20180212	27
20180113	35
20180502	3
20180216	6
